St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  493 1037 2017]
40,50,20,Mode,40,[   0  493 2017]
40,50,20,Median,40,[   0  452 2017]
40,50,20,Mode,40,[   0  493 2017]
40,50,20,Median,40,[   0   41  493  983 1877 2017]
40,50,20,Mode,40,[   0  493 2017]
40,50,20,Median,40,[   0   41  493  838 1109 1883 2017]
40,50,20,Mode,40,[   0   41  493  838 1109 1883 2017]
40,50,20,Median,40,[   0   41  493  838 1109 1276 1883 2017]
40,50,20,Mode,40,[   0   41  493  838 1109 1276 1883 2017]
40,50,20,Median,40,[   0   41  493  825 1109 1276 1883 2017]
40,50,20,Mode,40,[   0   41  493  838 1109 1276 1883 2017]
40,50,20,Median,40,[   0   41  421  493  825 1109 1276 1883 2017]
40,50,20,Mode,40,[   0   41  421  493  838 1109 1276 1883 2017]
40,50,20,Median,40,[   0   41  420  493  825 1109 1276 1883 2017]
40,50,20,Mode,40,[   0   41  421  493  838 1109 1276 1883 2017]
40,50,20,Median,40,[   0   41  420  493  838 1109 1276 1883 2017]
40,50,20,Mode,40,[   0   41  421  493  838 1109 1276 1883 2017]
