St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  558  855 1046]
40,50,20,Mode,40,[   0  561  855 1046]
40,50,20,Median,40,[   0  256  613  855 1046]
40,50,20,Mode,40,[   0  340  855 1046]
40,50,20,Median,40,[   0  256  561  682  855 1046]
40,50,20,Mode,40,[   0  340  561  681  855 1046]
40,50,20,Median,40,[   0  256  561  682  855  980 1046]
40,50,20,Mode,40,[   0  340  561  681  855  986 1046]
40,50,20,Median,40,[   0  238  561  682  855  980 1046]
40,50,20,Mode,40,[   0  238  561  681  855  986 1046]
40,50,20,Median,40,[   0  246  561  682  855  980 1046]
40,50,20,Mode,40,[   0  238  561  681  855  986 1046]
40,50,20,Median,40,[   0  246  561  682  855  980 1046]
40,50,20,Mode,40,[   0  238  561  681  855  986 1046]
40,50,20,Median,40,[   0  246  561  681  855  980 1046]
40,50,20,Mode,40,[   0  238  561  681  855  986 1046]
40,50,20,Median,40,[   0  246  561  681  855  980 1046]
40,50,20,Mode,40,[   0  238  561  681  855  986 1046]
