St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  416  875 1180]
40,50,20,Mode,40,[   0  465 1180]
40,50,20,Median,40,[   0  129  962 1180]
40,50,20,Mode,40,[   0  129  736  962 1180]
40,50,20,Median,40,[   0  129  465  736  962 1180]
40,50,20,Mode,40,[   0  129  465  736  962 1180]
40,50,20,Median,40,[   0  129  284  736  962 1180]
40,50,20,Mode,40,[   0  129  284  736  962 1180]
40,50,20,Median,40,[   0  129  284  736  962 1034 1180]
40,50,20,Mode,40,[   0  129  284  736  962 1034 1180]
40,50,20,Median,40,[   0  129  284  465  646  736  962 1034 1180]
40,50,20,Mode,40,[   0  129  284  465  646  736  962 1034 1180]
40,50,20,Median,40,[   0  129  284  465  646  736  962 1034 1180]
40,50,20,Mode,40,[   0  129  284  465  646  736  962 1034 1180]
40,50,20,Median,40,[   0  129  284  465  646  736  962 1034 1180]
40,50,20,Mode,40,[   0  129  284  465  646  736  962 1034 1180]
40,50,20,Median,40,[   0  129  284  465  512  646  736  962 1034 1180]
40,50,20,Mode,40,[   0  129  284  465  512  646  736  962 1034 1180]
