St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  635  977 2017]
40,50,20,Mode,40,[   0  635  953 2017]
40,50,20,Median,40,[   0  635  953 1001 2017]
40,50,20,Mode,40,[   0  635  953 1001 2017]
40,50,20,Median,40,[   0  635  953 1001 2017]
40,50,20,Mode,40,[   0  635  953 1001 2017]
40,50,20,Median,40,[   0  635  953 1001 2017]
40,50,20,Mode,40,[   0  635  953 1001 2017]
40,50,20,Median,40,[   0  635  953 1001 2017]
40,50,20,Mode,40,[   0  635  953 1001 2017]
40,50,20,Median,40,[   0  635  953 1001 2017]
40,50,20,Mode,40,[   0  635  953 1001 2017]
40,50,20,Median,40,[   0  635  953 1001 2017]
40,50,20,Mode,40,[   0  635  953 1001 2017]
40,50,20,Median,40,[   0  635  953 1001 2017]
40,50,20,Mode,40,[   0  635  953 1001 2017]
40,50,20,Median,40,[   0  635  953 1001 2017]
40,50,20,Mode,40,[   0  635  953 1001 2017]
