St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  404  712 1046]
40,50,20,Mode,40,[   0  404 1046]
40,50,20,Median,40,[   0   78  404  712 1046]
40,50,20,Mode,40,[   0   78  404 1046]
40,50,20,Median,40,[   0   78  404  614  758 1046]
40,50,20,Mode,40,[   0   78  404  712  758 1046]
40,50,20,Median,40,[   0   78  404  712  938 1046]
40,50,20,Mode,40,[   0   78  404  614  758 1046]
40,50,20,Median,40,[   0   78  260  404  712  938 1046]
40,50,20,Mode,40,[   0   78  251  404  614  758 1046]
40,50,20,Median,40,[   0   78  260  404  459  712  938 1046]
40,50,20,Mode,40,[   0   78  251  404  459  614  758 1046]
40,50,20,Median,40,[   0   78  404  459  712  758 1046]
40,50,20,Mode,40,[   0   78  404  459  712  758 1046]
40,50,20,Median,40,[   0   78  251  351  404  614  712  758 1046]
40,50,20,Mode,40,[   0   78  251  351  404  614  712  758 1046]
40,50,20,Median,40,[   0   78  404  459  712  758 1046]
40,50,20,Mode,40,[   0   78  404  459  712  758 1046]
