Algorithm,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
numberofpoints,26.21105527638191,0.0,0.0,0.1566919553617872,0.07973056447808641,16008.055276381909,9833.819095477387,6174.236180904522
betti,78.41114664230243,0.029574109831163594,0.005697091647865549,0.06482672732080824,0.032986196072549115,15625.738693467336,14141.598446779351,1484.1402466879854
amplitude-betti-2,618.9846153846154,0.3355451154072053,0.06452782308631437,0.21476736327535553,0.10928144374660276,11674.935384615384,8129.618461538462,3545.316923076923
amplitude-betti-1,365.48615384615385,0.3914710451464222,0.07520861917435274,0.32831971782802094,0.16706101070264665,12195.846153846154,7229.218461538461,4966.627692307692
landscape,672.2380082229329,0.5491143812613086,0.10551868032154915,0.17749823991834598,0.09031755861288984,9879.703060758337,10933.91777067154,-1054.2147099132023
silhouette-1,672.2005481955231,0.5773631836459864,0.11093860327216012,0.15838175592906947,0.08059039645078551,9676.260392873459,11044.304705344906,-1368.0443124714482
silhouette-2,672.2384650525354,0.5810220871726937,0.11164061445579986,0.1509432281678467,0.07680540304816412,9669.901324805847,11100.423481041571,-1430.522156235724
amplitude-bottleneck,1018.1446153846153,0.596849491206736,0.1147424222723685,0.28604136789646906,0.1455482489436804,8615.353846153846,7128.378461538461,1486.9753846153847
life,935.9191533657182,0.6726878838318581,0.12927840508640173,0.277127715877925,0.14101265868086935,8438.29493407356,8156.875433726579,281.41950034698124
entropy,779.3718592964824,0.6767601050288483,0.13003306788450883,0.18171691798943831,0.0924641754138794,9205.643216080402,9998.422110552763,-792.7788944723618
amplitude-wasserstein-2,1018.2369230769231,0.7808101815497822,0.15003782184446948,0.3624489608216886,0.1844272105360205,7881.92923076923,6900.772307692308,981.156923076923
amplitude-landscape-2-1,1014.6830769230769,0.7982423331250798,0.15338242092215396,0.32373546155048283,0.16472837441716276,7191.744615384616,6936.870769230769,254.87384615384616
amplitude-landscape-2-2,1014.6830769230769,0.8024864409344087,0.15419671163109835,0.3326095865101822,0.16924385187516156,7309.07076923077,6931.036923076923,378.0338461538461
amplitude-wasserstein-1,1018.2061538461538,0.8077008950134265,0.15519717667570163,0.3517625348715347,0.1789895684356857,7691.350769230769,6919.329230769231,772.0215384615385
bd2,936.9555863983345,0.8116473922138489,0.15593970627818907,0.3598357980607749,0.18309753830415829,8177.004510756419,7840.763705759889,336.2408049965302
amplitude-silhouette-2-1,1014.6830769230769,0.8463954638221262,0.1626212642067193,0.28321569624713666,0.14411044446220067,6520.689230769231,6948.636923076923,-427.9476923076923
amplitude-silhouette-2-2,1014.6830769230769,0.8644285244294759,0.16608115598282333,0.25983818289465854,0.13221511562171553,6525.735384615385,7171.076923076923,-645.3415384615384
amplitude-landscape-1-2,1014.68,0.9343584212468512,0.17949817265960571,0.34401596075758406,0.17504782984769918,6637.843076923077,6872.384615384615,-234.54153846153847
amplitude-landscape-1-1,1014.68,0.9770664038731279,0.18769228907057278,0.33269132400153045,0.16928544288287584,6131.704615384615,6950.018461538461,-818.3138461538462
amplitude-silhouette-1-1,1014.68,1.075788035694276,0.20663339782070622,0.3265770667012857,0.1661742864435603,5308.446153846154,6715.086153846154,-1406.64
amplitude-silhouette-1-2,1014.68,1.0992439722012386,0.21113374324671677,0.29861873722088955,0.15194807179080771,5250.172307692308,6921.015384615384,-1670.843076923077
