St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  566 2097 2956]
40,50,20,Mode,40,[   0  566 2097 2956]
40,50,20,Median,40,[   0  566 1594 2408 2956]
40,50,20,Mode,40,[   0  566 2097 2956]
40,50,20,Median,40,[   0  566 1030 1763 2408 2956]
40,50,20,Mode,40,[   0  566 1007 2097 2408 2956]
40,50,20,Median,40,[   0  566 1030 2097 2408 2956]
40,50,20,Mode,40,[   0  566 1007 2097 2408 2956]
40,50,20,Median,40,[   0  276  566 1030 1594 2097 2408 2956]
40,50,20,Mode,40,[   0  276  566 1007 2097 2408 2956]
40,50,20,Median,40,[   0  276  566 1030 1594 2097 2408 2731 2956]
40,50,20,Mode,40,[   0  276  566 1007 2097 2408 2821 2956]
40,50,20,Median,40,[   0  276  566 1030 1593 1763 2097 2408 2731 2956]
40,50,20,Mode,40,[   0  276  566 1007 1593 1763 2097 2408 2821 2956]
40,50,20,Median,40,[   0  276  566 1007 1593 1763 2097 2408 2731 2956]
40,50,20,Mode,40,[   0  276  566 1007 1593 1763 2097 2408 2821 2956]
40,50,20,Median,40,[   0  276  566 1007 1593 1763 2097 2408 2731 2956]
40,50,20,Mode,40,[   0  276  566 1007 1593 1763 2097 2408 2821 2956]
