St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  592 1562]
40,50,20,Mode,40,[   0  592 1562]
40,50,20,Median,40,[   0  592  943 1562]
40,50,20,Mode,40,[   0  592  943 1225 1562]
40,50,20,Median,40,[   0  233  592  943 1562]
40,50,20,Mode,40,[   0  233  592  943 1225 1562]
40,50,20,Median,40,[   0  233  592  943 1249 1396 1562]
40,50,20,Mode,40,[   0  233  592  943 1225 1396 1562]
40,50,20,Median,40,[   0  233  592  674 1562]
40,50,20,Mode,40,[   0  233  592  674 1225 1396 1562]
40,50,20,Median,40,[   0  233  592  674  881  943 1249 1396 1562]
40,50,20,Mode,40,[   0  233  592  674  881  943 1225 1396 1562]
40,50,20,Median,40,[   0  233  592  674  881  943 1225 1274 1562]
40,50,20,Mode,40,[   0  233  592  674  881  943 1225 1274 1562]
40,50,20,Median,40,[   0  233  592  674  881  943 1225 1274 1562]
40,50,20,Mode,40,[   0  233  592  674  881  943 1225 1274 1562]
40,50,20,Median,40,[   0  233  592  674  881  943 1225 1274 1562]
40,50,20,Mode,40,[   0  233  592  674  881  943 1225 1274 1562]
