St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  274 2134]
40,50,20,Mode,40,[   0  274 1218 2134]
40,50,20,Median,40,[   0  274 2030 2134]
40,50,20,Mode,40,[   0  274 2030 2134]
40,50,20,Median,40,[   0  274 2030 2134]
40,50,20,Mode,40,[   0  274 2030 2134]
40,50,20,Median,40,[   0  274 1218 1286 2030 2134]
40,50,20,Mode,40,[   0  274 1218 1286 2030 2134]
40,50,20,Median,40,[   0  274 1218 1286 2030 2134]
40,50,20,Mode,40,[   0  274  448  763 1218 1286 2030 2134]
40,50,20,Median,40,[   0  274 1218 1286 2030 2134]
40,50,20,Mode,40,[   0  274  448  763 1218 1286 2030 2134]
40,50,20,Median,40,[   0   98  274 1218 1286 2030 2134]
40,50,20,Mode,40,[   0   98  274  448  763 1218 1286 2030 2134]
40,50,20,Median,40,[   0   98  274 1218 1286 2030 2134]
40,50,20,Mode,40,[   0   98  274  448  682 1218 1286 2030 2134]
40,50,20,Median,40,[   0   98  274  448  553 1218 1286 2030 2134]
40,50,20,Mode,40,[   0   98  274  448  553 1218 1286 2030 2134]
