Algorithm,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
silhouette-2,971.2658227848101,1.3401399559840912,0.48298311240682906,0.2128776461266391,0.18496863255994148,1547.6856540084389,2826.5358649789027,-1278.850210970464
landscape,971.2616033755274,1.0419958567286591,0.37461000425211244,0.2231482750691618,0.19968577857947048,2245.6223628691982,2651.5822784810125,-405.9599156118143
amplitude-bottleneck,993.9363057324841,0.8347931065617505,0.29929338349768053,0.2282511061329483,0.20699780497035755,2732.5923566878982,2523.8662420382166,208.72611464968153
amplitude-silhouette-2-2,984.0509554140127,1.26973409951668,0.45739112008927785,0.230098969855594,0.2096456739940132,1598.5414012738854,2472.5859872611463,-874.0445859872611
silhouette-1,971.2658227848101,1.4190782327528053,0.5116765744849551,0.23058799430429416,0.21034641435362667,1398.9535864978902,2522.818565400844,-1123.8649789029537
amplitude-wasserstein-1,994.0063694267516,0.4876917150759803,0.17312467268273857,0.23714149798703354,0.21973716064366905,3751.770700636943,2527.624203821656,1224.1464968152866
amplitude-silhouette-1-2,984.0509554140127,1.5029965362896767,0.5421802383443899,0.24432662951459053,0.2300329887231717,1171.3248407643312,2248.140127388535,-1076.8152866242037
life,992.1906779661017,0.7161479958193873,0.25616678984507724,0.24526220602107554,0.2313736092572632,3077.0324858757062,2342.6002824858756,734.4322033898305
amplitude-wasserstein-2,994.0254777070064,0.7043220993538669,0.2518681665958332,0.2460648710615971,0.23252377626964726,3101.8662420382166,2292.7452229299365,809.1210191082803
amplitude-landscape-2-1,984.0509554140127,1.039253899576574,0.37361332372165557,0.24668311370978,0.2334096779393238,2191.0318471337578,2223.4904458598726,-32.45859872611465
amplitude-landscape-2-2,984.0509554140127,1.0097963169872035,0.36290571692377865,0.2489502209555137,0.23665829577608102,2267.484076433121,2178.292993630573,89.19108280254777
amplitude-silhouette-2-1,984.0509554140127,1.3782632645492345,0.4968406445621317,0.25221619369426285,0.24133822316523726,1372.0891719745223,2129.515923566879,-757.4267515923567
amplitude-landscape-1-1,984.0509554140127,1.241042622095437,0.4469619866821229,0.2546670942914709,0.24485020496988819,1702.7006369426751,2103.452229299363,-400.7515923566879
amplitude-landscape-1-2,984.0509554140127,1.1679363363886508,0.42038840891393303,0.2568069488390795,0.24791647793271748,1892.8535031847134,2062.076433121019,-169.22292993630575
amplitude-silhouette-1-1,984.0509554140127,1.563154852071568,0.5640473277113035,0.26553102974259535,0.26041752078625185,1076.2929936305732,1915.8853503184714,-839.5923566878981
entropy,983.7215189873418,0.39616558834088206,0.13985562306406035,0.2726707033633235,0.2706482106296945,4021.721518987342,2143.772151898734,1877.9493670886077
bd2,992.2175141242938,0.6810861876543193,0.243422089755885,0.2863718148422015,0.29028101592262584,3163.151129943503,1823.3502824858756,1339.800847457627
