St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  513 2017]
40,50,20,Mode,40,[   0  513 2017]
40,50,20,Median,40,[   0  312  513 2017]
40,50,20,Mode,40,[   0  350  513 2017]
40,50,20,Median,40,[   0  513 1332 1382 2017]
40,50,20,Mode,40,[   0  513 1332 1382 2017]
40,50,20,Median,40,[   0  442 1332 1382 2017]
40,50,20,Mode,40,[   0  442 1332 1382 2017]
40,50,20,Median,40,[   0  442 1332 1382 2017]
40,50,20,Mode,40,[   0  442 1332 1382 2017]
40,50,20,Median,40,[   0  442 1332 1382 2017]
40,50,20,Mode,40,[   0  442 1332 1382 2017]
40,50,20,Median,40,[   0  442 1332 1382 2017]
40,50,20,Mode,40,[   0  442 1332 1382 2017]
40,50,20,Median,40,[   0  442 1332 1382 2017]
40,50,20,Mode,40,[   0  442 1332 1382 2017]
40,50,20,Median,40,[   0  442 1332 1382 2017]
40,50,20,Mode,40,[   0  442 1332 1382 2017]
